"nombre","provincia","nivel","porcentaje","extranjerizada_ha","total_ha","id"
"Minas","Cordoba","Departamentos dentro del promedio nacional",4,"14804.02",357653.86,62
"San Alberto","Cordoba","Departamentos dentro del promedio nacional",2,"5818.8100000000004",336643.08,63
"Río Segundo","Cordoba","Departamentos dentro del promedio nacional",0,"2143.9099999999999",512936.61,64
"San Justo","Cordoba","Departamentos dentro del promedio nacional",0,"3239.3299999999999",1544690.6,65
"Unión","Cordoba","Departamentos dentro del promedio nacional",2,"17850.860000000001",1082148.05,66
"Tercero Arriba","Cordoba","Departamentos dentro del promedio nacional",2,"11394.93",511451.96,67
"Río Cuarto","Cordoba","Departamentos dentro del promedio nacional",2,"42877.980000000003",1845697.65,68
"Pilagás","Formosa","Departamentos dentro del promedio nacional",0,"632.46000000000004",221328,69
"Laishi","Formosa","Departamentos dentro del promedio nacional",2,"5413.3000000000002",243204,70
"Pirané","Formosa","Departamentos dentro del promedio nacional",0,"919.20000000000005",576975,71
"General Güemes","Chaco","Departamentos por encima del promedio nacional",6,"150586.13",2396166.76,72
"Valcheta","Rio Negro","Departamentos dentro del promedio nacional",0,"40.210000000000001",1961352.35,73
"San Antonio","Rio Negro","Departamentos dentro del promedio nacional",2,"30272.799999999999",1321687.08,74
"9 de Julio","Rio Negro","Departamentos dentro del promedio nacional",0,"",1846444.08,75
"Ñorquinco","Rio Negro","Departamentos dentro del promedio nacional",5,"34843.949999999997",637795.04,76
"25 de Mayo","Rio Negro","Departamentos dentro del promedio nacional",0,"2309.0",2415714.51,77
"Pilcaniyeu","Rio Negro","Departamentos por encima del promedio nacional",10,"95250.410000000003",909273.33,78
"Adolfo Alsina","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"5860.3000000000002",566624.62,79
"Pellegrini","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",5,"9217.4200000000001",177019.49,80
"Puán","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"8065.5200000000004",615166.33,81
"Villarino","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"29786.360000000001",1030440.46,82
"Presidente Roque Sáenz Peña","Cordoba","Departamentos dentro del promedio nacional",2,"17793.23",820702.9,83
"General Villegas","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",6,"38657.889999999999",690042.05,84
"General Roca","Cordoba","Departamentos dentro del promedio nacional",2,"23270.900000000001",1268705.41,85
"Picún Leufú","Neuquen","Departamentos dentro del promedio nacional",1,"2678.9200000000001",426155.23,86
"Zapala","Neuquen","Departamentos dentro del promedio nacional",1,"4269.29",534488.18,87
"Aluminé","Neuquen","Departamentos dentro del promedio nacional",2,"10033.610000000001",459309.46,88
"Comuna 1","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,89
"Comuna 4","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,90
"Comuna 5","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,91
"Comuna 7","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,92
"Comuna 10","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,93
"Comuna 11","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,94
"Comuna 12","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,95
"San Martín","Santiago del Estero","Departamentos por encima del promedio nacional",9,"19485.59",209555,96
"Yavi","Jujuy","Departamentos dentro del promedio nacional",0,"",293533.21,97
"Santa Catalina","Jujuy","Departamentos dentro del promedio nacional",0,"",294857.43,98
"San Pedro","Jujuy","Departamentos con alto nivel de extranjerización",21,"44237.580000000002",213947.46,99
"Valle Grande","Jujuy","Departamentos dentro del promedio nacional",0,"",96099.32,100
"Patiño","Formosa","Departamentos dentro del promedio nacional",1,"22975.77",2332410,101
"Bermejo","Formosa","Departamentos dentro del promedio nacional",1,"9422.8700000000008",1245569,102
"Susques","Jujuy","Departamentos dentro del promedio nacional",0,"",919474.11,103
"Matacos","Formosa","Departamentos dentro del promedio nacional",0,"",440167,104
"Tilcara","Jujuy","Departamentos dentro del promedio nacional",0,"10.56",184318.31,105
"Palpalá","Jujuy","Departamentos dentro del promedio nacional",5,"2337.1100000000001",45798.32,106
