"nombre","provincia","nivel","porcentaje","extranjerizada_ha","total_ha","id"
"San Pedro","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",5,"5898.9200000000001",114152.9,276
"Ledesma","Jujuy","Departamentos dentro del promedio nacional",1,"4843.4899999999998",323499.28,277
"Humahuaca","Jujuy","Departamentos con alto nivel de extranjerización",26,"98726.309999999998",378793.24,278
"Cochinoca","Jujuy","Departamentos dentro del promedio nacional",0,"0.13",783117.07,279
"Tumbaya","Jujuy","Departamentos dentro del promedio nacional",1,"2713.8499999999999",344050.45,280
"Dr. Manuel Belgrano","Jujuy","Departamentos por encima del promedio nacional",6,"11373.65",188685.36,281
"Rinconada","Jujuy","Departamentos dentro del promedio nacional",1,"7501.4099999999999",616161.3,282
"Ramón Lista","Formosa","Departamentos dentro del promedio nacional",1,"2500.0",372762,283
"Florentino Ameghino","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"2978.8800000000001",177698.21,284
"Sauce","Corrientes","Departamentos dentro del promedio nacional",0,"6.2000000000000002",172995.54,285
"San Martín","Corrientes","Departamentos dentro del promedio nacional",2,"13826.379999999999",558432.14,286
"Paso de los Libres","Corrientes","Departamentos dentro del promedio nacional",0,"120.0",468950.67,287
"Goya","Corrientes","Departamentos por encima del promedio nacional",10,"45949.410000000003",461202.31,288
"Lavalle","Corrientes","Departamentos dentro del promedio nacional",0,"87.010000000000005",136994.86,289
"San Roque","Corrientes","Departamentos por encima del promedio nacional",7,"11670.75",167305.33,290
"General Alvear","Corrientes","Departamentos dentro del promedio nacional",5,"10429.040000000001",191225.44,291
"Concepción","Corrientes","Departamentos por encima del promedio nacional",13,"34224.910000000003",253686.03,292
"Bella Vista","Corrientes","Departamentos dentro del promedio nacional",0,"",168886.49,293
"Santo Tomé","Corrientes","Departamentos por encima del promedio nacional",14,"92471.199999999997",657308.36,294
"Saladas","Corrientes","Departamentos dentro del promedio nacional",0,"325.51999999999998",174596.13,295
"General Paz","Corrientes","Departamentos dentro del promedio nacional",0,"1997.51",458615.95,296
"Mburucuyá","Corrientes","Departamentos dentro del promedio nacional",0,"218.09999999999999",76884.65,297
"San Miguel","Corrientes","Departamentos por encima del promedio nacional",11,"19642.700000000001",171818.02,298
"Empedrado","Corrientes","Departamentos dentro del promedio nacional",0,"522.20000000000005",190450.42,299
"Ituzaingó","Corrientes","Departamentos con alto nivel de extranjerización",34,"93858.710000000006",276890.58,300
"Capital","Corrientes","Departamentos dentro del promedio nacional",0,"91.310000000000002",45621.58,301
"San Luis del Palmar","Corrientes","Departamentos dentro del promedio nacional",1,"2393.8499999999999",211708.11,302
"San Cosme","Corrientes","Departamentos por encima del promedio nacional",7,"4034.71",56151.57,303
"Itatí","Corrientes","Departamentos dentro del promedio nacional",1,"405.55000000000001",76265.59,304
"Berón de Astrada","Corrientes","Departamentos con alto nivel de extranjerización",33,"23325.02",71281.88,305
"Tolhuin","Tierra del Fuego, Antártida e Islas del Atlántico Sur","Departamentos por encima del promedio nacional",12,"73030.929999999993",587008,306
"1° de Mayo","Chaco","Departamentos dentro del promedio nacional",2,"2986.29",166268.57,307
"9 de Julio","Chaco","Departamentos dentro del promedio nacional",0,"275.57999999999998",209390.62,308
"San Fernando","Chaco","Departamentos dentro del promedio nacional",3,"6328.8500000000004",181157.23,309
"San Lorenzo","Chaco","Departamentos dentro del promedio nacional",1,"1904.6600000000001",208235.7,310
"2 de Abril","Chaco","Departamentos dentro del promedio nacional",4,"5791.25",154867.13,311
"Lanús","Provincia de Buenos Aires","Sin datos",NA,NA,NA,312
"Lomas de Zamora","Provincia de Buenos Aires","Sin datos",NA,NA,NA,313
"Avellaneda","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",6,"18.57",311.11,314
"25 de Mayo","Chaco","Departamentos dentro del promedio nacional",1,"1218.5599999999999",194759.34,315
"Libertad","Chaco","Departamentos dentro del promedio nacional",0,"275.91000000000003",99608.69,316
"Comandante Fernández","Chaco","Departamentos dentro del promedio nacional",2,"3479.2399999999998",148192.6,317
"General Belgrano","Chaco","Departamentos dentro del promedio nacional",0,"219.56",121462.13,318
"General Donovan","Chaco","Departamentos dentro del promedio nacional",4,"4055.0100000000002",113192.69,319
"Comuna 15","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,320
"La Plata","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",10,"6375.04",64122.6,321
"Mercedes","Corrientes","Departamentos por encima del promedio nacional",10,"79262.130000000005",812856.06,322
"Santa Bárbara","Jujuy","Departamentos dentro del promedio nacional",2,"7637.3699999999999",443960.24,323
"Curuzú Cuatiá","Corrientes","Departamentos por encima del promedio nacional",10,"86370.460000000006",833700.42,324
"Pocho","Cordoba","Departamentos dentro del promedio nacional",0,"834.07000000000005",304307.37,325
"Santa María","Catamarca","Departamentos por encima del promedio nacional",9,"53249.190000000002",572729,326
"Santa Rosa","Catamarca","Departamentos dentro del promedio nacional",1,"1729.98",158668,327
"La Paz","Catamarca","Departamentos por encima del promedio nacional",12,"116297.02",992305,328
"Fray Mamerto Esquiú","Catamarca","Departamentos dentro del promedio nacional",0,"",15670,329
"Belén","Catamarca","Departamentos dentro del promedio nacional",0,"0.02",1306015,330
"Capital","Catamarca","Departamentos dentro del promedio nacional",0,"",35633,331
"Ancasti","Catamarca","Departamentos dentro del promedio nacional",0,"",194746,332
"Pomán","Catamarca","Departamentos dentro del promedio nacional",0,"627.88999999999999",505485,333
"Capayán","Catamarca","Departamentos dentro del promedio nacional",1,"3468.1100000000001",422882,334
"Andalgalá","Catamarca","Departamentos dentro del promedio nacional",5,"25082.16",469374,335
"Ambato","Catamarca","Departamentos dentro del promedio nacional",3,"4859.0699999999997",173425,336
"Paclín","Catamarca","Departamentos con alto nivel de extranjerización",21,"20321.540000000001",98373,337
"El Alto","Catamarca","Departamentos dentro del promedio nacional",4,"7031.8400000000001",193429,338
"Valle Viejo","Catamarca","Departamentos dentro del promedio nacional",5,"2899.2600000000002",58961,339
"Güer Aike","Santa Cruz","Departamentos por encima del promedio nacional",13,"432371.0",3363288.49,340
"Pila","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"4396.9499999999998",336780.74,341
"General Alvear","Mendoza","Departamentos por encima del promedio nacional",12,"170578.81",1443000,342
"Malargüe","Mendoza","Departamentos con alto nivel de extranjerización",15,"608739.78000000003",4130600,343
"Santa Rosa","Mendoza","Departamentos dentro del promedio nacional",1,"6708.8800000000001",850300,344
"Maipú","Mendoza","Departamentos por encima del promedio nacional",6,"3689.73",56800,345
"San Martín","Mendoza","Departamentos por encima del promedio nacional",14,"20476.220000000001",147900,346
"Rivadavia","Mendoza","Departamentos dentro del promedio nacional",1,"2564.75",212800,347
"Junín","Mendoza","Departamentos dentro del promedio nacional",2,"449.73000000000002",25400,348
"Guaymallén","Mendoza","Departamentos dentro del promedio nacional",3,"333.50999999999999",10000,349
"Godoy Cruz","Mendoza","Departamentos dentro del promedio nacional",0,"",4100,350
"Capital","Mendoza","Departamentos por encima del promedio nacional",11,"117.02",1100,351
"Luján de Cuyo","Mendoza","Departamentos dentro del promedio nacional",2,"11827.32",475400,352
"Las Heras","Mendoza","Departamentos por encima del promedio nacional",12,"110796.60000000001",890600,353
"Tunuyán","Mendoza","Departamentos dentro del promedio nacional",3,"10352.780000000001",330600,354
"San Carlos","Mendoza","Departamentos por encima del promedio nacional",7,"82508.300000000003",1156900,355
"La Paz","Mendoza","Departamentos por encima del promedio nacional",13,"89335.300000000003",709900,356
"Lavalle","Mendoza","Departamentos por encima del promedio nacional",10,"99115.979999999996",1020200,357
"San Rafael","Mendoza","Departamentos dentro del promedio nacional",4,"120721.03999999999",3116300,358
"Río Senguer","Chubut","Departamentos dentro del promedio nacional",1,"30236.57",2238065.8,359
"Biedma","Chubut","Departamentos dentro del promedio nacional",5,"63994.519999999997",1294876.77,360
"Villaguay","Entre Rios","Departamentos dentro del promedio nacional",3,"19878.970000000001",653541.91,361
"Federal","Entre Rios","Departamentos dentro del promedio nacional",4,"19619.59",519447.49,362
"San Salvador","Entre Rios","Departamentos dentro del promedio nacional",0,"4.79",130527.15,363
"Nogoyá","Entre Rios","Departamentos dentro del promedio nacional",2,"6917.4799999999996",453637.83,364
"Tala","Entre Rios","Departamentos dentro del promedio nacional",2,"4320.1899999999996",263935.54,365
"Feliciano","Entre Rios","Departamentos dentro del promedio nacional",2,"6992.71",316096.05,366
"Paraná","Entre Rios","Departamentos dentro del promedio nacional",1,"4686.5699999999997",490041.32,367
"Diamante","Entre Rios","Departamentos dentro del promedio nacional",0,"856.84000000000003",256878.98,368
"Victoria","Entre Rios","Departamentos dentro del promedio nacional",2,"12254.15",589646.1,369
"Gualeguay","Entre Rios","Departamentos por encima del promedio nacional",9,"57043.589999999997",665333.64,370
"Mártires","Chubut","Departamentos dentro del promedio nacional",1,"12961.709999999999",1528827.7,371
"Telsen","Chubut","Departamentos dentro del promedio nacional",3,"64963.919999999998",1974290.54,372
"Rawson","Chubut","Departamentos dentro del promedio nacional",0,"348.80000000000001",401745.04,373
"Florentino Ameghino","Chubut","Departamentos dentro del promedio nacional",2,"33266.57",1601375.92,374
"Escalante","Chubut","Departamentos dentro del promedio nacional",3,"45132.279999999999",1403535.76,375
"Sarmiento","Chubut","Departamentos dentro del promedio nacional",1,"7235.6199999999999",1333087.25,376
"Tehuelches","Chubut","Departamentos dentro del promedio nacional",2,"25113.360000000001",1458414.2,377
"Languiñeo","Chubut","Departamentos dentro del promedio nacional",3,"39204.790000000001",1489250.03,378
"Gastre","Chubut","Departamentos dentro del promedio nacional",3,"42579.639999999999",1611642.2,379
"Cushamen","Chubut","Departamentos con alto nivel de extranjerización",23,"377875.38",1649975.64,380
"Futaleufú","Chubut","Departamentos dentro del promedio nacional",4,"36046.379999999997",871277.68,381
"Capital","San Juan","Sin datos",NA,NA,NA,382
"Rivadavia","San Juan","Departamentos dentro del promedio nacional",5,"408.36000000000001",9020.33,383
"Santa Lucía","San Juan","Departamentos dentro del promedio nacional",3,"112.70999999999999",3545.78,384
"Rawson","San Juan","Departamentos dentro del promedio nacional",2,"524.20000000000005",24633.89,385
"Pocito","San Juan","Departamentos por encima del promedio nacional",13,"7061.8599999999997",54319.4,386
"Zonda","San Juan","Departamentos dentro del promedio nacional",0,"221.09",215792.12,387
"Chimbas","San Juan","Departamentos dentro del promedio nacional",3,"126.08",3718.31,388
"9 de Julio","San Juan","Departamentos dentro del promedio nacional",5,"651.47000000000003",12983.76,389
"Albardón","San Juan","Departamentos dentro del promedio nacional",0,"82.269999999999996",94259.14,390
"Angaco","San Juan","Departamentos dentro del promedio nacional",0,"442.23000000000002",243415.36,391
"San Martín","San Juan","Departamentos con alto nivel de extranjerización",20,"10568.959999999999",52197,392
"Caucete","San Juan","Departamentos dentro del promedio nacional",0,"1352.3",735680.25,393
"Calingasta","San Juan","Departamentos por encima del promedio nacional",12,"258809.95000000001",2138362.42,394
"Jáchal","San Juan","Departamentos por encima del promedio nacional",9,"125485.69",1357620.63,395
"Valle Fértil","San Juan","Departamentos dentro del promedio nacional",1,"7576.8999999999996",527678.41,396
"Iglesia","San Juan","Departamentos con alto nivel de extranjerización",25,"450044.60999999999",1803484.26,397
"Ullum","San Juan","Departamentos dentro del promedio nacional",1,"2299.6100000000001",417025.05,398
"Gobernador Dupuy","San Luis","Departamentos dentro del promedio nacional",3,"58317.309999999998",1848093.13,399
"Ayacucho","San Luis","Departamentos dentro del promedio nacional",2,"19346.84",799122.97,400
"Belgrano","San Luis","Departamentos dentro del promedio nacional",0,"493.17000000000002",825214.79,401
"Juan Martín de Pueyrredón","San Luis","Departamentos dentro del promedio nacional",5,"68507.149999999994",1376037.94,402
"General Pedernera","San Luis","Departamentos dentro del promedio nacional",2,"28043.830000000002",1482336.82,403
"Junín","San Luis","Departamentos dentro del promedio nacional",0,"483.56999999999999",268180.08,404
"Libertador General San Martín","San Luis","Departamentos dentro del promedio nacional",0,"280.72000000000003",347577.95,405
"Coronel Pringles","San Luis","Departamentos por encima del promedio nacional",6,"21828.950000000001",384583.8,406
"Chacabuco","San Luis","Departamentos dentro del promedio nacional",2,"5212.8000000000002",235236.14,407
"25 de Mayo","San Juan","Departamentos dentro del promedio nacional",2,"10633.66",590058.82,408
"Sarmiento","San Juan","Departamentos dentro del promedio nacional",4,"10968.540000000001",279845.42,409
"Iruya","Salta","Departamentos dentro del promedio nacional",0,"",351464,410
"Orán","Salta","Departamentos con alto nivel de extranjerización",23,"276043.85999999999",1185676,411
"La Candelaria","Salta","Departamentos por encima del promedio nacional",11,"16868.66",152410,412
"Cafayate","Salta","Departamentos con alto nivel de extranjerización",23,"35759.339999999997",154758,413
"Santa Victoria","Salta","Departamentos dentro del promedio nacional",0,"",391089,414
"General José de San Martín","Salta","Departamentos por encima del promedio nacional",12,"200940.88",1619368,415
"Rivadavia","Salta","Departamentos dentro del promedio nacional",2,"47316.529999999999",2594003,416
"Capital","Salta","Departamentos dentro del promedio nacional",4,"5993.4799999999996",146518,417
"Cerrillos","Salta","Departamentos con alto nivel de extranjerización",25,"15485.59",62863,418
"Chicoana","Salta","Departamentos con alto nivel de extranjerización",16,"14456.65",90129,419
"Rosario de Lerma","Salta","Departamentos dentro del promedio nacional",0,"442.56999999999999",507070,420
"La Caldera","Salta","Departamentos por encima del promedio nacional",9,"7544.2200000000003",85636,421
"Cachi","Salta","Departamentos por encima del promedio nacional",11,"31185.75",292038,422
"La Viña","Salta","Departamentos con alto nivel de extranjerización",28,"60662.709999999999",214943,423
"San Carlos","Salta","Departamentos con alto nivel de extranjerización",60,"306454.25",512297,424
"Anta","Salta","Departamentos por encima del promedio nacional",14,"307715.09999999998",2192493,425
"Guachipas","Salta","Departamentos con alto nivel de extranjerización",34,"94205.619999999995",278408,426
"Loncopué","Neuquen","Departamentos dentro del promedio nacional",0,"",546580.28,427
"Ñorquín","Neuquen","Departamentos dentro del promedio nacional",3,"18707.23",551766.36,428
"Constitución","Santa Fe","Departamentos dentro del promedio nacional",1,"1806.4000000000001",302272.58,429
"Rosario","Santa Fe","Departamentos dentro del promedio nacional",0,"206.06",161935.38,430
"Iriondo","Santa Fe","Departamentos dentro del promedio nacional",0,"219.16999999999999",309939.13,431
"Las Colonias","Santa Fe","Departamentos dentro del promedio nacional",0,"573.45000000000005",603183.27,432
"San Justo","Santa Fe","Departamentos dentro del promedio nacional",1,"7709.9300000000003",535734.6,433
"Vinchina","La Rioja","Departamentos dentro del promedio nacional",4,"36936.800000000003",1028472.53,434
"Antofagasta de la Sierra","Catamarca","Departamentos dentro del promedio nacional",0,"3504.6900000000001",2825718,435
"Tinogasta","Catamarca","Departamentos con alto nivel de extranjerización",27,"608956.63",2288319,436
"Caleu Caleu","La Pampa","Departamentos dentro del promedio nacional",1,"11927.15",906836.44,437
"Chical Co","La Pampa","Departamentos dentro del promedio nacional",2,"21763.68",911665.4,438
"Chapaleufú","La Pampa","Departamentos dentro del promedio nacional",0,"761.33000000000004",256514.76,439
"Rancul","La Pampa","Departamentos dentro del promedio nacional",1,"2795.4499999999998",492213.55,440
"Lihuel Calel","La Pampa","Departamentos dentro del promedio nacional",3,"43465.720000000001",1244777.39,441
"Hucal","La Pampa","Departamentos dentro del promedio nacional",1,"7720.2700000000004",603000.79,442
"Limay Mahuida","La Pampa","Departamentos dentro del promedio nacional",1,"7421.5200000000004",997643.96,443
"Guatraché","La Pampa","Departamentos dentro del promedio nacional",1,"2500.0",351296.5,444
"Maracó","La Pampa","Departamentos dentro del promedio nacional",1,"3135.1700000000001",254338.97,445
"Realicó","La Pampa","Departamentos dentro del promedio nacional",0,"390.5",244400.89,446
"Utracán","La Pampa","Departamentos dentro del promedio nacional",3,"43211.540000000001",1294838.2,447
"Toay","La Pampa","Departamentos dentro del promedio nacional",3,"15652.200000000001",508508.46,448
"Capital","La Pampa","Departamentos dentro del promedio nacional",1,"2274.3400000000001",249761.03,449
"Trenel","La Pampa","Departamentos dentro del promedio nacional",0,"203.81999999999999",195279.03,450
"Chalileo","La Pampa","Departamentos dentro del promedio nacional",1,"5429.6599999999999",891554.47,451
"Puelén","La Pampa","Departamentos dentro del promedio nacional",3,"36968.779999999999",1298391.06,452
"Conhelo","La Pampa","Departamentos dentro del promedio nacional",0,"1271.9000000000001",504154.66,453
"Loventué","La Pampa","Departamentos por encima del promedio nacional",6,"53277.980000000003",922703.65,454
"Ushuaia","Tierra del Fuego, Antártida e Islas del Atlántico Sur","Departamentos dentro del promedio nacional",0,"",702769,455
"San Fernando","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"2209.9699999999998",95910,456
"Tigre","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"292.36000000000001",31348.14,457
"Gaiman","Chubut","Departamentos dentro del promedio nacional",1,"10354.27",1149558.45,458
"Castellanos","Santa Fe","Departamentos dentro del promedio nacional",0,"676.05999999999995",639241.09,459
"San Martín","Santa Fe","Departamentos dentro del promedio nacional",0,"288.82999999999998",475407.64,460
"Paso de Indios","Chubut","Departamentos dentro del promedio nacional",4,"93314.630000000005",2223982.8,461
"Rivadavia","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"9842.4699999999993",381314.41,462
"La Poma","Salta","Departamentos dentro del promedio nacional",0,"",444671,463
"General Güemes","Salta","Departamentos con alto nivel de extranjerización",29,"67685.0",234836,464
"Rosario de la Frontera","Salta","Departamentos por encima del promedio nacional",8,"45438.470000000001",539002,465
"Metán","Salta","Departamentos dentro del promedio nacional",2,"10319.450000000001",520256,466
"Molinos","Salta","Departamentos con alto nivel de extranjerización",58,"207985.79999999999",359894,467
"General Obligado","Santa Fe","Departamentos dentro del promedio nacional",0,"21.41",1045417.85,468
"General López","Santa Fe","Departamentos dentro del promedio nacional",4,"39320.120000000003",1123420.54,469
"Caseros","Santa Fe","Departamentos dentro del promedio nacional",0,"375.87",335205.1,470
"San Lorenzo","Santa Fe","Departamentos dentro del promedio nacional",2,"2835.48",170492.08,471
"Vera","Santa Fe","Departamentos dentro del promedio nacional",1,"26198.259999999998",2042619.42,472
"9 de Julio","Santa Fe","Departamentos dentro del promedio nacional",2,"42815.540000000001",1732256.75,473
"San Cristóbal","Santa Fe","Departamentos dentro del promedio nacional",1,"10180.450000000001",1426935.98,474
"La Capital","Santa Fe","Departamentos dentro del promedio nacional",0,"209.38",243543.63,475
"Atreucó","La Pampa","Departamentos por encima del promedio nacional",7,"26586.66",357117.3,476
"Catriló","La Pampa","Departamentos dentro del promedio nacional",1,"2960.23",255192.46,477
"Quemú Quemú","La Pampa","Departamentos dentro del promedio nacional",4,"9163.1200000000008",255218.93,478
"Curacó","La Pampa","Departamentos dentro del promedio nacional",3,"41909.279999999999",1285738.48,479
"Los Andes","Salta","Departamentos dentro del promedio nacional",0,"19.800000000000001",2563086,480
"Tupungato","Mendoza","Departamentos dentro del promedio nacional",2,"5667.7700000000004",247900,481
"Garay","Santa Fe","Departamentos con alto nivel de extranjerización",16,"61629.589999999997",391776.85,482
"Belgrano","Santa Fe","Departamentos dentro del promedio nacional",2,"3648.0599999999999",237087.33,483
"San Jerónimo","Santa Fe","Departamentos dentro del promedio nacional",0,"1248.0",416521.13,484
"La Cocha","Tucuman","Departamentos dentro del promedio nacional",5,"4537.9499999999998",94678.09,485
"Graneros","Tucuman","Departamentos dentro del promedio nacional",1,"1633.54",166696.32,486
"Juan Bautista Alberdi","Tucuman","Departamentos dentro del promedio nacional",5,"3443.9400000000001",74552.69,487
"Río Chico","Tucuman","Departamentos por encima del promedio nacional",8,"4326.4200000000001",57533.53,488
"Simoca","Tucuman","Departamentos dentro del promedio nacional",0,"307.08999999999997",124330.86,489
"Chicligasta","Tucuman","Departamentos dentro del promedio nacional",4,"5413.6599999999999",131064.79,490
"Monteros","Tucuman","Departamentos dentro del promedio nacional",3,"3849.5100000000002",118593.42,491
"Leales","Tucuman","Departamentos dentro del promedio nacional",2,"3274.6599999999999",194070.81,492
"Famaillá","Tucuman","Departamentos dentro del promedio nacional",5,"2364.1900000000001",44437.42,493
"Capital","Tucuman","Departamentos dentro del promedio nacional",0,"",252.9,494
"Cruz Alta","Tucuman","Departamentos con alto nivel de extranjerización",16,"18404.43",112101.35,495
"Lules","Tucuman","Departamentos dentro del promedio nacional",1,"465.31",55034.49,496
"Yerba Buena","Tucuman","Departamentos dentro del promedio nacional",3,"292.94",10206.12,497
"Tafí Viejo","Tucuman","Departamentos dentro del promedio nacional",2,"2114.8899999999999",111959.58,498
"Burruyacú","Tucuman","Departamentos por encima del promedio nacional",9,"32718.52",361294,499
"Trancas","Tucuman","Departamentos dentro del promedio nacional",1,"3464.1599999999999",299480.82,500
"Tafí del Valle","Tucuman","Departamentos dentro del promedio nacional",1,"2947.7399999999998",259445.51,501
"Islas del Atlántico Sur","Tierra del Fuego, Antártida e Islas del Atlántico Sur","Departamentos con alto nivel de extranjerización",100,"1500000",1500000,502
"Capital","Misiones","Departamentos por encima del promedio nacional",6,"5064.9799999999996",79174.15,503
"San Ignacio","Misiones","Departamentos por encima del promedio nacional",9,"14704.950000000001",162969.8,504
"Candelaria","Misiones","Departamentos dentro del promedio nacional",5,"4071.1399999999999",84343.91,505
"Montecarlo","Misiones","Departamentos con alto nivel de extranjerización",18,"31866.75",173606.09,506
"Cainguás","Misiones","Departamentos dentro del promedio nacional",3,"4867.9700000000003",147899.19,507
"Oberá","Misiones","Departamentos por encima del promedio nacional",6,"8681.4200000000001",150598.4,508
"25 de Mayo","Misiones","Departamentos dentro del promedio nacional",4,"5867.4399999999996",166733.81,509
"Leandro N. Alem","Misiones","Departamentos dentro del promedio nacional",3,"3521.1999999999998",101881.38,510
"San Javier","Misiones","Departamentos dentro del promedio nacional",1,"736.32000000000005",61496.47,511
"Concepción","Misiones","Departamentos con alto nivel de extranjerización",16,"11795.66",71941.96,512
"Apóstoles","Misiones","Departamentos dentro del promedio nacional",1,"816.30999999999995",98033.54,513
"Guaraní","Misiones","Departamentos dentro del promedio nacional",1,"2052.8699999999999",342377.88,514
"San Pedro","Misiones","Departamentos por encima del promedio nacional",9,"32116.709999999999",356810.07,515
"Iguazú","Misiones","Departamentos con alto nivel de extranjerización",40,"114406.67999999999",286378.35,516
"General Manuel Belgrano","Misiones","Departamentos por encima del promedio nacional",11,"29061.470000000001",261345.63,517
"Eldorado","Misiones","Departamentos con alto nivel de extranjerización",16,"31266.080000000002",192507.84,518
"Libertador General San Martín","Misiones","Departamentos con alto nivel de extranjerización",17,"24858.419999999998",148154.47,519
"Monte Caseros","Corrientes","Departamentos dentro del promedio nacional",3,"6374.96",219215.15,520
"Federación","Entre Rios","Departamentos dentro del promedio nacional",1,"3385.6999999999998",347486.01,521
"Islas del Ibicuy","Entre Rios","Departamentos dentro del promedio nacional",1,"6181.2399999999998",478679.71,522
"Uruguay","Entre Rios","Departamentos dentro del promedio nacional",1,"4798.1199999999999",512732.62,523
"Colón","Entre Rios","Departamentos dentro del promedio nacional",1,"3004.4299999999998",262914.66,524
"Gualeguaychú","Entre Rios","Departamentos dentro del promedio nacional",3,"22460.189999999999",739286.96,525
"Concordia","Entre Rios","Departamentos por encima del promedio nacional",6,"17864.549999999999",314644.69,526
"La Paz","Entre Rios","Departamentos por encima del promedio nacional",9,"56636.410000000003",646511.23,527
"San Javier","Santa Fe","Departamentos dentro del promedio nacional",3,"19842.27",639384.47,528
"Antártida Argentina","Tierra del Fuego, Antártida e Islas del Atlántico Sur","Sin datos",NA,NA,NA,529
